,Rank,Name of movie,Year of release,Rating,Votes
0,1 ,Poor Things,2023,8.4 ,['79K']
1,2 ,Argylle,2024,6.0 ,['18K']
2,3 ,Saltburn,2023,7.1 ,['165K']
3,4 ,The Beekeeper,2024,6.4 ,['43K']
4,5 ,The Ministry of Ungentlemanly Warfare,2024,,[]
5,6 ,Road House,2024,,[]
6,7 ,The Holdovers,2023,8.0 ,['89K']
7,8 ,Killers of the Flower Moon,2023,7.7 ,['196K']
8,9 ,Fighter,2024,7.4 ,['35K']
9,10 ,Oppenheimer,2023,8.4 ,['629K']
10,11 ,Animal,2023,6.4 ,['78K']
11,12 ,Wonka,2023,7.1 ,['90K']
12,13 ,Society of the Snow,2023,7.9 ,['93K']
13,14 ,The Zone of Interest,2023,7.9 ,['14K']
14,15 ,Anyone But You,2023,6.5 ,['21K']
15,16 ,Anatomy of a Fall,2023,7.8 ,['61K']
16,17 ,Mean Girls,2024,6.2 ,['13K']
17,18 ,All of Us Strangers,2023,8.0 ,['15K']
18,19 ,Aquaman and the Lost Kingdom,2023,5.7 ,['52K']
19,20 ,Badland Hunters,2024,6.0 ,['6.1K']
20,21 ,The Hill,2023,6.7 ,['4.2K']
21,22 ,Madame Web,2024,,[]
22,23 ,Barbie,2023,6.9 ,['488K']
23,24 ,Lift,2024,5.5 ,['31K']
24,25 ,Miller's Girl,2024,5.5 ,['1.4K']
25,26 ,Mission: Impossible - Dead Reckoning Part One,2023,7.7 ,['225K']
26,27 ,Ferrari,2023,6.6 ,['25K']
27,28 ,Despicable Me 4,2023,,[]
28,29 ,Ghostbusters: Frozen Empire,2024,,[]
29,30 ,Dune: Part Two,2024,,[]
30,31 ,Monkey Man,2024,,[]
31,32 ,American Fiction,2023,7.7 ,['16K']
32,33 ,Groundhog Day,1993,8.0 ,['678K']
33,34 ,The Creator,2023,6.8 ,['137K']
34,35 ,The Postcard Killings,2020,5.8 ,['15K']
35,36 ,Past Lives,2023,7.9 ,['79K']
36,37 ,Migration,2023,6.7 ,['14K']
37,38 ,12th Fail,2023,9.2 ,['95K']
38,39 ,Godzilla Minus One,2023,8.3 ,['43K']
39,40 ,Maestro,2023,6.6 ,['46K']
40,41 ,X,2022,6.5 ,['165K']
41,42 ,The Underdoggs,2024,5.5 ,['2.4K']
42,43 ,Napoleon,2023,6.4 ,['106K']
43,44 ,The Iron Claw,2023,8.0 ,['19K']
44,45 ,Dune,2021,8.0 ,['755K']
45,46 ,Leave This World Behind,2023,6.5 ,['177K']
46,47 ,The Kitchen,2023,4.8 ,['6.2K']
47,48 ,Road House,1989,6.7 ,['86K']
48,49 ,Night Swim,2024,4.7 ,['10K']
49,50 ,Deep Fear,2023,4.3 ,['7.8K']
50,51 ,Orion and the Dark,2024,6.4 ,['5.4K']
51,52 ,The Boys in the Boat,2023,7.0 ,['9.2K']
52,53 ,The Favourite,2018,7.5 ,['224K']
53,54 ,No Hard Feelings,2023,6.4 ,['145K']
54,55 ,Dumb Money,2023,6.9 ,['33K']
55,56 ,Wish,2023,5.7 ,['20K']
56,57 ,DogMan,2023,6.7 ,['5.5K']
57,58 ,Rebel Moon: Part One - A Child of Fire,2023,5.6 ,['97K']
58,59 ,Nyad,2023,7.1 ,['25K']
59,60 ,Salaar,2023,6.5 ,['58K']
60,61 ,Bob Marley: One Love,2024,,[]
61,62 ,Beetlejuice 2,2024,,[]
62,63 ,May December,2023,6.9 ,['42K']
63,64 ,Once Upon a Time... In Hollywood,2019,7.6 ,['830K']
64,65 ,Role Play,2023,5.5 ,['12K']
65,66 ,Vreli Dani U Alabami,1991,7.7 ,['82K']
66,67 ,How to Have Sex,2023,6.5 ,['9.7K']
67,68 ,Deadpool 3,2024,,[]
68,69 ,The Hunger Games: The Ballad of Songbirds and Snakes,2023,6.8 ,['95K']
69,70 ,Mean Girls,2004,7.1 ,['428K']
70,71 ,The Shawshank Redemption,1994,9.3 ,['2.9M']
71,72 ,Hanu Man,2024,8.5 ,['17K']
72,73 ,Interstellar,2014,8.7 ,['2.1M']
73,74 ,The Killing of a Sacred Deer,2017,7.0 ,['182K']
74,75 ,The Color Purple,2023,7.1 ,['8.8K']
75,76 ,The Boy and the Heron,2023,7.6 ,['41K']
76,77 ,Self Reliance,2023,6.1 ,['9.6K']
77,78 ,The Marvels,2023,5.6 ,['95K']
78,79 ,The Godfather,1972,9.2 ,['2M']
79,80 ,The Batman,2022,7.8 ,['769K']
80,81 ,Longlegs,2024,,[]
81,82 ,Thanksgiving,2023,6.4 ,['34K']
82,83 ,Sound of Freedom,2023,7.7 ,['107K']
83,84 ,Spider-man: Across the Spider-verse,2023,8.6 ,['344K']
84,85 ,Top Gun: Maverick,2022,8.3 ,['673K']
85,86 ,Lisa Frankenstein,2024,6.5 ,['1.3K']
86,87 ,Everything Everywhere All at Once,2022,7.8 ,['515K']
87,88 ,Silent Night,2021,5.7 ,['19K']
88,89 ,The Florida Project,2017,7.6 ,['126K']
89,90 ,Indiana Jones and the Dial of Destiny,2023,6.6 ,['188K']
90,91 ,Gladiator 2,2024,,[]
91,92 ,Dream Scenario,2023,7.0 ,['35K']
92,93 ,Trolls Band Together,2023,6.0 ,['11K']
93,94 ,The Dark Knight,2008,9.0 ,['2.8M']
94,95 ,Priscilla,2023,6.7 ,['23K']
95,96 ,Queenpins,2021,6.4 ,['21K']
96,97 ,Fast X,2023,5.8 ,['114K']
97,98 ,The Family Plan,2023,6.3 ,['35K']
98,99 ,American Star,2024,5.3 ,['758']
99,100 ,Ambulance,2022,6.1 ,['95K']
